Hit Type,Base Attack,Damage Dealt,Weapon Accuracy,Target Defense
drain,14,34,20,
drain,14,35,20,
drain,14,21,20,
drain,14,37,20,
drain,14,36,20,
drain,14,29,20,
drain,14,40,20,
drain,14,40,20,
drain,14,45,20,
drain,14,39,20,
drain,14,23,20,
drain,14,34,20,
drain,14,44,20,
drain,14,35,20,
drain,14,38,20,
drain,14,36,20,
drain,14,41,20,
drain,14,45,20,
drain,14,41,20,
drain,14,28,20,
drain,14,48,20,
drain,14,25,20,
drain,14,31,20,
drain,14,35,20,
drain,14,42,20,
drain,14,49,20,
drain,14,40,20,
drain,14,31,20,
drain,14,42,20,
drain,14,35,20,
drain,14,32,20,
drain,14,36,20,
drain,14,34,20,
drain,14,29,20,
drain,14,21,20,
drain,14,31,20,
drain,14,28,20,
drain,14,43,20,
drain,14,29,20,
drain,14,26,20,
drain,14,40,20,
drain,14,35,20,
drain,14,31,20,
drain,14,31,20,
drain,14,28,20,
drain,14,31,20,
drain,14,41,20,
drain,14,30,20,
drain,14,37,20,
drain,14,35,20,
drain,14,39,20,
drain,14,30,20,
drain,14,33,20,
drain,14,29,20,
drain,14,44,20,
drain,14,42,20,
drain,14,38,20,
drain,14,30,20,
drain,14,33,20,
drain,14,30,20,
drain,14,31,20,
drain,14,28,20,
drain,14,32,20,
drain,14,36,20,
drain,14,38,20,
drain,14,38,20,
drain,14,32,20,
drain,14,41,20,
drain,14,37,20,
drain,14,32,20,
drain,14,29,20,
drain,14,34,20,
drain,14,42,20,
drain,14,40,20,
drain,14,28,20,
drain,14,36,20,
drain,14,42,20,
drain,14,31,20,
drain,14,43,20,
drain,14,29,20,
drain,14,31,20,
drain,14,40,20,
drain,14,37,20,
drain,14,46,20,
drain,14,39,20,
drain,14,40,20,
drain,14,42,20,
drain,14,42,20,
drain,14,42,20,
drain,14,37,20,
drain,14,40,20,
drain,14,28,20,
drain,14,49,20,
drain,14,28,20,
drain,14,32,20,
drain,14,25,20,
drain,14,43,20,
drain,14,43,20,
drain,14,26,20,
drain,14,41,20,
drain,14,29,20,
drain,14,30,20,
drain,14,29,20,
drain,14,41,20,
drain,14,24,20,
drain,14,44,20,
drain,14,39,20,
drain,14,39,20,
drain,14,25,20,
drain,14,45,20,
drain,14,35,20,
drain,14,25,20,
drain,14,37,20,
drain,14,37,20,
drain,14,40,20,
drain,14,30,20,
drain,14,43,20,
drain,14,32,20,
drain,14,38,20,
drain,14,46,20,
drain,14,26,20,
drain,14,25,20,
drain,14,48,20,
drain,14,45,20,
drain,14,24,20,
drain,14,42,20,
drain,14,24,20,
drain,14,29,20,
drain,14,35,20,
drain,14,32,20,
drain,14,51,20,
drain,14,38,20,
drain,14,27,20,
drain,14,38,20,
drain,14,43,20,
drain,14,24,20,
drain,14,40,20,
drain,14,31,20,
drain,14,42,20,
drain,14,26,20,
drain,14,25,20,
drain,14,46,20,
drain,14,47,20,
drain,14,31,20,
drain,14,32,20,
drain,14,30,20,
drain,14,46,20,
drain,14,33,20,
drain,14,32,20,
drain,14,27,20,
drain,14,32,20,
drain,14,38,20,
drain,14,46,20,
drain,14,35,20,
drain,14,30,20,
drain,14,33,20,
drain,14,29,20,
drain,14,40,20,
drain,14,38,20,
drain,14,40,20,
drain,14,35,20,
drain,14,37,20,
drain,14,31,20,
drain,14,36,20,
drain,14,39,20,
drain,14,47,20,
drain,14,40,20,
drain,14,41,20,
drain,14,48,20,
drain,14,39,20,
drain,14,30,20,
drain,14,35,20,
drain,14,29,20,
drain,14,40,20,
drain,14,26,20,
drain,14,51,20,
drain,14,27,20,
drain,14,32,20,
drain,14,50,20,
drain,14,42,20,
drain,14,38,20,
drain,14,35,20,
drain,14,38,20,
drain,14,42,20,
drain,14,35,20,
drain,14,34,20,
drain,14,38,20,
drain,14,38,20,
drain,14,30,20,
drain,14,27,20,
drain,14,35,20,
drain,14,26,20,
drain,14,38,20,
drain,14,27,20,
drain,14,38,20,
drain,14,33,20,
drain,14,47,20,
drain,14,51,20,
drain,14,32,20,
drain,14,37,20,
drain,14,46,20,
drain,14,25,20,
drain,14,30,20,
drain,14,38,20,
drain,14,42,20,
drain,14,41,20,
drain,14,27,20,
drain,14,37,20,
drain,14,28,20,
drain,14,36,20,
drain,14,37,20,
drain,14,32,20,
drain,14,29,20,
drain,14,38,20,
drain,14,39,20,
drain,14,23,20,
drain,14,40,20,
drain,14,27,20,
drain,14,43,20,
drain,14,36,20,
drain,14,32,20,
drain,14,37,20,
drain,14,35,20,
drain,14,28,20,
drain,14,43,20,
drain,14,36,20,
drain,14,35,20,
drain,14,42,20,
drain,14,36,20,
drain,14,35,20,
drain,14,44,20,
drain,14,35,20,
drain,14,29,20,
drain,14,39,20,
drain,14,40,20,
drain,14,39,20,
drain,14,40,20,
drain,14,27,20,
drain,14,32,20,
drain,14,31,20,
drain,14,27,20,
drain,14,33,20,
drain,14,37,20,
drain,14,44,20,
drain,14,37,20,
drain,14,26,20,
drain,14,29,20,
drain,14,43,20,
drain,14,38,20,
drain,14,47,20,
