Hit Type,Base Attack,Damage Dealt,Weapon Accuracy,Target Defense
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,3,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,2,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
solid,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
crit,3,2,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
solid,3,1,10,30
normal,3,1,10,30
normal,3,1,10,30
